[rosmaster.master][INFO] 2021-02-16 12:28:35,463: publisherUpdate[/rosout] -> http://ip-172-31-16-155:42333/ ['http://ip-172-31-16-155:40909/', 'http://ip-172-31-16-155:36646/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-02-16 12:28:35,467: +PUB [/rosout] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,470: publisherUpdate[/rosout] -> http://ip-172-31-16-155:42333/ ['http://ip-172-31-16-155:40909/', 'http://ip-172-31-16-155:36646/', 'http://ip-172-31-16-155:46774/']
[rosmaster.master][INFO] 2021-02-16 12:28:35,481: publisherUpdate[/rosout] -> http://ip-172-31-16-155:42333/ ['http://ip-172-31-16-155:40909/', 'http://ip-172-31-16-155:36646/', 'http://ip-172-31-16-155:46774/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-02-16 12:28:35,490: +SERVICE [/rosapi/get_loggers] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,497: +SERVICE [/rosapi/set_logger_level] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,506: +SERVICE [/rosapi/topics] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,510: +SERVICE [/rosapi/topics_for_type] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,516: +SERVICE [/rosapi/services] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,521: +SERVICE [/rosapi/services_for_type] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,526: +SERVICE [/rosapi/nodes] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,531: +SERVICE [/rosapi/node_details] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,535: +SERVICE [/rosapi/action_servers] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,540: +SERVICE [/rosapi/topic_type] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,546: +SERVICE [/rosapi/service_type] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,551: +SERVICE [/rosapi/publishers] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,556: +SERVICE [/rosapi/subscribers] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,561: +SERVICE [/rosapi/service_providers] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,566: +SERVICE [/rosapi/service_node] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,571: +SERVICE [/rosapi/service_host] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,576: +SERVICE [/rosapi/message_details] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,581: +SERVICE [/rosapi/service_request_details] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,587: +SERVICE [/rosapi/service_response_details] /rosapi http://ip-172-31-16-155:46774/
